DATA,Tipo,Spread,Data_Str,Color
2024-10-18,Spread B26/DAP26,0.02909999999999968,2024-10-18,#1f77b4
2024-10-21,Spread B26/DAP26,0.03110000000000035,2024-10-21,#1f77b4
2024-10-22,Spread B26/DAP26,0.0400999999999998,2024-10-22,#1f77b4
2024-10-23,Spread B26/DAP26,0.05140000000000011,2024-10-23,#1f77b4
2024-10-24,Spread B26/DAP26,0.059800000000000075,2024-10-24,#1f77b4
2024-10-25,Spread B26/DAP26,0.05379999999999985,2024-10-25,#1f77b4
2024-10-28,Spread B26/DAP26,0.043099999999999916,2024-10-28,#1f77b4
2024-10-29,Spread B26/DAP26,0.012299999999999756,2024-10-29,#1f77b4
2024-10-30,Spread B26/DAP26,0.029600000000000293,2024-10-30,#1f77b4
2024-10-31,Spread B26/DAP26,0.030399999999999316,2024-10-31,#1f77b4
2024-11-05,Spread B26/DAP26,0.04859999999999953,2024-11-05,#1f77b4
2024-11-08,Spread B26/DAP26,0.11050000000000004,2024-11-08,#1f77b4
2024-11-11,Spread B26/DAP26,0.032099999999999795,2024-11-11,#1f77b4
2024-11-12,Spread B26/DAP26,0.051000000000000156,2024-11-12,#1f77b4
2024-11-14,Spread B26/DAP26,0.05510000000000037,2024-11-14,#1f77b4
2024-11-18,Spread B26/DAP26,0.04530000000000012,2024-11-18,#1f77b4
2024-11-21,Spread B26/DAP26,0.00709999999999944,2024-11-21,#1f77b4
2024-11-22,Spread B26/DAP26,-0.005300000000000082,2024-11-22,#1f77b4
2024-11-25,Spread B26/DAP26,0.028799999999999493,2024-11-25,#1f77b4
2024-11-27,Spread B26/DAP26,-0.0007999999999999119,2024-11-27,#1f77b4
2024-12-03,Spread B26/DAP26,-0.009400000000000297,2024-12-03,#1f77b4
2024-12-04,Spread B26/DAP26,-0.011099999999999888,2024-12-04,#1f77b4
2024-12-05,Spread B26/DAP26,0.08479999999999954,2024-12-05,#1f77b4
2024-12-06,Spread B26/DAP26,0.03849999999999998,2024-12-06,#1f77b4
2024-12-09,Spread B26/DAP26,0.0506000000000002,2024-12-09,#1f77b4
2024-12-11,Spread B26/DAP26,0.021300000000000097,2024-12-11,#1f77b4
2025-01-08,Spread B26/DAP26,0.030399999999999316,2025-01-08,#1f77b4
2025-01-09,Spread B26/DAP26,-0.007000000000000561,2025-01-09,#1f77b4
2025-01-13,Spread B26/DAP26,0.025900000000000034,2025-01-13,#1f77b4
2025-01-14,Spread B26/DAP26,0.025900000000000034,2025-01-14,#1f77b4
2025-01-15,Spread B26/DAP26,0.013500000000000512,2025-01-15,#1f77b4
2025-01-17,Spread B26/DAP26,0.019999999999999574,2025-01-17,#1f77b4
2025-01-20,Spread B26/DAP26,0.013500000000000512,2025-01-20,#1f77b4
2025-01-21,Spread B26/DAP26,-0.032600000000000406,2025-01-21,#1f77b4
2025-01-22,Spread B26/DAP26,0.024099999999999788,2025-01-22,#1f77b4
2025-01-23,Spread B26/DAP26,-0.025599999999999845,2025-01-23,#1f77b4
2025-01-24,Spread B26/DAP26,0.05940000000000012,2025-01-24,#1f77b4
2025-01-27,Spread B26/DAP26,0.04699999999999971,2025-01-27,#1f77b4
2025-01-28,Spread B26/DAP26,0.03500000000000014,2025-01-28,#1f77b4
2025-01-29,Spread B26/DAP26,0.045099999999999696,2025-01-29,#1f77b4
2025-01-30,Spread B26/DAP26,0.04350000000000076,2025-01-30,#1f77b4
2025-01-31,Spread B26/DAP26,0.03289999999999971,2025-01-31,#1f77b4
2025-02-03,Spread B26/DAP26,0.06049999999999933,2025-02-03,#1f77b4
2025-02-04,Spread B26/DAP26,0.028900000000000148,2025-02-04,#1f77b4
2025-02-05,Spread B26/DAP26,0.01470000000000038,2025-02-05,#1f77b4
2025-02-06,Spread B26/DAP26,0.005599999999999383,2025-02-06,#1f77b4
2025-02-07,Spread B26/DAP26,0.013200000000000323,2025-02-07,#1f77b4
2025-02-10,Spread B26/DAP26,0.01949999999999985,2025-02-10,#1f77b4
2025-02-11,Spread B26/DAP26,0.008899999999999686,2025-02-11,#1f77b4
2025-02-12,Spread B26/DAP26,0.01750000000000007,2025-02-12,#1f77b4
2025-02-13,Spread B26/DAP26,0.03469999999999995,2025-02-13,#1f77b4
2025-02-17,Spread B26/DAP26,0.05710000000000015,2025-02-17,#1f77b4
2025-02-21,Spread B26/DAP26,0.06050000000000022,2025-02-21,#1f77b4
2025-02-24,Spread B26/DAP26,0.054700000000000415,2025-02-24,#1f77b4
2025-02-25,Spread B26/DAP26,0.04800000000000004,2025-02-25,#1f77b4
2025-02-26,Spread B26/DAP26,0.0613999999999999,2025-02-26,#1f77b4
2025-02-27,Spread B26/DAP26,0.028699999999999726,2025-02-27,#1f77b4
2025-02-28,Spread B26/DAP26,0.02829999999999977,2025-02-28,#1f77b4
2025-03-06,Spread B26/DAP26,0.034199999999998454,2025-03-06,#1f77b4
2025-03-07,Spread B26/DAP26,0.004099999999999326,2025-03-07,#1f77b4
2025-03-10,Spread B26/DAP26,0.041999999999999815,2025-03-10,#1f77b4
2025-03-11,Spread B26/DAP26,0.06520000000000081,2025-03-11,#1f77b4
2025-03-12,Spread B26/DAP26,0.07160000000000011,2025-03-12,#1f77b4
2025-03-13,Spread B26/DAP26,0.0411999999999999,2025-03-13,#1f77b4
2025-03-14,Spread B26/DAP26,0.03979999999999961,2025-03-14,#1f77b4
2025-03-17,Spread B26/DAP26,-0.001900000000000901,2025-03-17,#1f77b4
2025-03-18,Spread B26/DAP26,0.009199999999999875,2025-03-18,#1f77b4
2025-03-19,Spread B26/DAP26,-0.005899999999998684,2025-03-19,#1f77b4
2025-03-20,Spread B26/DAP26,0.020400000000000418,2025-03-20,#1f77b4
2025-03-21,Spread B26/DAP26,0.011200000000000543,2025-03-21,#1f77b4
2025-03-24,Spread B26/DAP26,0.01529999999999987,2025-03-24,#1f77b4
2025-03-25,Spread B26/DAP26,0.027899999999998926,2025-03-25,#1f77b4
2025-03-26,Spread B26/DAP26,0.030799999999999272,2025-03-26,#1f77b4
2025-03-27,Spread B26/DAP26,-0.040599999999999525,2025-03-27,#1f77b4
2025-03-31,Spread B26/DAP26,0.03270000000000017,2025-03-31,#1f77b4
2025-04-01,Spread B26/DAP26,0.04970000000000141,2025-04-01,#1f77b4
2025-04-02,Spread B26/DAP26,0.024399999999999977,2025-04-02,#1f77b4
2025-04-03,Spread B26/DAP26,0.05599999999999916,2025-04-03,#1f77b4
2025-04-04,Spread B26/DAP26,0.0039999999999995595,2025-04-04,#1f77b4
2025-04-07,Spread B26/DAP26,0.0600000000000005,2025-04-07,#1f77b4
2025-04-08,Spread B26/DAP26,0.05919999999999881,2025-04-08,#1f77b4
2025-04-09,Spread B26/DAP26,0.015799999999998704,2025-04-09,#1f77b4
2025-04-10,Spread B26/DAP26,-0.015600000000000946,2025-04-10,#1f77b4
2025-04-11,Spread B26/DAP26,0.07189999999999941,2025-04-11,#1f77b4
2025-04-14,Spread B26/DAP26,0.044800000000000395,2025-04-14,#1f77b4
2025-04-15,Spread B26/DAP26,0.03570000000000029,2025-04-15,#1f77b4
2025-04-16,Spread B26/DAP26,0.04100000000000037,2025-04-16,#1f77b4
2025-04-17,Spread B26/DAP26,0.0693999999999999,2025-04-17,#1f77b4
2025-04-22,Spread B26/DAP26,0.05060000000000109,2025-04-22,#1f77b4
2025-04-23,Spread B26/DAP26,0.06990000000000052,2025-04-23,#1f77b4
2025-04-24,Spread B26/DAP26,0.06930000000000014,2025-04-24,#1f77b4
2025-04-25,Spread B26/DAP26,0.07200000000000095,2025-04-25,#1f77b4
2025-04-28,Spread B26/DAP26,0.10870000000000068,2025-04-28,#1f77b4
2024-04-29,Spread B27/DAP27,0.10330000000000084,2024-04-29,#2ca02c
2024-04-30,Spread B27/DAP27,0.09370000000000012,2024-04-30,#2ca02c
2024-05-02,Spread B27/DAP27,0.09520000000000017,2024-05-02,#2ca02c
2024-05-06,Spread B27/DAP27,0.10420000000000051,2024-05-06,#2ca02c
2024-05-07,Spread B27/DAP27,0.11079999999999934,2024-05-07,#2ca02c
2024-05-15,Spread B27/DAP27,0.1051000000000002,2024-05-15,#2ca02c
2024-05-21,Spread B27/DAP27,0.08099999999999952,2024-05-21,#2ca02c
2024-05-23,Spread B27/DAP27,0.07750000000000057,2024-05-23,#2ca02c
2024-05-24,Spread B27/DAP27,0.0849000000000002,2024-05-24,#2ca02c
2024-05-27,Spread B27/DAP27,0.08249999999999957,2024-05-27,#2ca02c
2024-05-28,Spread B27/DAP27,0.08099999999999952,2024-05-28,#2ca02c
2024-06-03,Spread B27/DAP27,0.08479999999999954,2024-06-03,#2ca02c
2024-06-04,Spread B27/DAP27,0.06709999999999994,2024-06-04,#2ca02c
2024-06-05,Spread B27/DAP27,0.024099999999999788,2024-06-05,#2ca02c
2024-06-06,Spread B27/DAP27,0.10789999999999988,2024-06-06,#2ca02c
2024-06-10,Spread B27/DAP27,0.08099999999999952,2024-06-10,#2ca02c
2024-06-11,Spread B27/DAP27,0.08289999999999953,2024-06-11,#2ca02c
2024-06-14,Spread B27/DAP27,0.04860000000000042,2024-06-14,#2ca02c
2024-06-27,Spread B27/DAP27,0.09010000000000051,2024-06-27,#2ca02c
2024-06-28,Spread B27/DAP27,-0.005300000000000082,2024-06-28,#2ca02c
2024-07-08,Spread B27/DAP27,0.08570000000000011,2024-07-08,#2ca02c
2024-07-09,Spread B27/DAP27,0.0506000000000002,2024-07-09,#2ca02c
2024-07-12,Spread B27/DAP27,0.09719999999999995,2024-07-12,#2ca02c
2024-07-17,Spread B27/DAP27,0.0840999999999994,2024-07-17,#2ca02c
2024-07-23,Spread B27/DAP27,0.07910000000000039,2024-07-23,#2ca02c
2024-07-24,Spread B27/DAP27,0.10019999999999918,2024-07-24,#2ca02c
2024-07-25,Spread B27/DAP27,0.11329999999999973,2024-07-25,#2ca02c
2024-07-26,Spread B27/DAP27,0.09860000000000024,2024-07-26,#2ca02c
2024-07-30,Spread B27/DAP27,0.09830000000000005,2024-07-30,#2ca02c
2024-08-02,Spread B27/DAP27,0.09370000000000012,2024-08-02,#2ca02c
